   ID      X        Y         U       e(U)     B      e(B)     V      e(V)     I      e(I)
   72   2008.03   734.64    15.805   0.009  15.367   0.010  14.564   0.021  13.517   0.018
   73    691.20  1736.34    15.721   0.008  15.378   0.013  15.055   0.015  14.519   0.024
   74   1666.61   593.34    16.094   0.013  15.398   0.006  14.298   0.011  12.992   0.013
   75    666.47  1203.12    16.245   0.010  15.400   0.007  14.189   0.009  12.778   0.018
   76   1269.55  1146.81    15.754   0.009  15.401   0.006  14.663   0.011  13.716   0.014
   77    470.95  1990.61    15.708   0.009  15.413   0.014  14.782   0.024  13.951   0.026
   78   1320.74  1426.49    15.767   0.006  15.422   0.008  14.711   0.012  13.796   0.012
   79   1806.16  1032.49    15.806   0.011  15.442   0.008  14.754   0.012  13.873   0.015
   80    280.01  1953.05    16.553   0.007  15.456   0.011  14.254   0.012  12.965   0.014
   81   1878.16    10.75    15.938   0.025  15.466   0.018  14.690   0.041  13.815   0.036
   82    461.14   916.57    15.918   0.007  15.466   0.011  14.707   0.012  13.774   0.017
   83   1181.73   432.78    15.879   0.017  15.492   0.028  14.751   0.055  13.757   0.056
   84   1516.46   628.51    15.823   0.014  15.494   0.008  14.834   0.011  13.921   0.015
   85    594.31  1198.58    15.917   0.007  15.495   0.009  14.953   0.012  14.186   0.019
   86   1248.76   695.94    16.931   0.013  15.514   0.010  14.084   0.012  12.539   0.012
   87    523.65  1972.50    15.784   0.010  15.505   0.013  14.895   0.022  14.053   0.026
   88   1575.10   638.87    16.030   0.010  15.509   0.007  14.764   0.011  13.915   0.013
   89    109.52  1559.87    15.749   0.007  15.536   0.011  14.894   0.017  14.021   0.019
   90   1210.39  1043.49    16.797   0.010  15.550   0.008  14.211   0.008  12.764   0.012
   91   1612.25  1384.27    15.913   0.007  15.561   0.006  14.848   0.008  13.911   0.017
   92    805.26  1022.98    15.898   0.008  15.570   0.009  14.859   0.011  13.950   0.015
   93   1815.83   467.18    16.145   0.007  15.574   0.007  14.688   0.012  13.620   0.013
   94   1113.00   841.59    17.070   0.012  15.598   0.006  14.117   0.007  12.489   0.013
   95    470.91  1223.63    16.496   0.010  15.594   0.009  14.483   0.010  13.202   0.014
   96    142.77   263.91    16.553   0.021  15.603   0.008  14.329   0.013  12.860   0.017
   97   1219.07    47.19    16.089   0.010  15.612   0.012  14.728   0.034  13.634   0.013
   98   1079.36  1322.95    16.184   0.009  15.618   0.007  14.854   0.010  13.997   0.017
   99   1956.46  1899.27    17.679   0.015  15.640   0.016  13.866   0.025  11.908   0.024
  100   1240.18   891.72    16.999   0.021  15.656   0.007  14.279   0.007  12.766   0.015
  101   1991.50  1512.92    15.841   0.012  15.647   0.010  15.063   0.021  14.255   0.027
  102   1926.75  1552.83    15.942   0.009  15.652   0.009  15.008   0.017  14.135   0.019
  103   1881.26  1277.63    16.075   0.012  15.659   0.007  15.002   0.011  14.099   0.016
  104    861.92  1227.27    16.207   0.007  15.668   0.010  14.983   0.012  14.095   0.016
  105   1388.14   156.78    15.957   0.010  15.683   0.007  14.964   0.025  14.042   0.016
  106    276.61  1987.27    16.523   0.009  15.698   0.009  14.559   0.019  13.227   0.025
  107    290.42  1479.90    16.116   0.008  15.702   0.011  14.911   0.011  13.935   0.022
  108   1830.90  1894.38    16.389   0.009  15.713   0.012  14.917   0.019  13.997   0.013
  109   1690.04  1687.24    16.043   0.008  15.714   0.010  15.009   0.014  14.099   0.015
  110    418.52   368.80    16.379   0.012  15.722   0.008  14.741   0.009  13.505   0.017
  111   1738.78  1810.18    16.802   0.009  15.730   0.010  14.679   0.014  13.485   0.011
  112    399.95  1358.16    16.079   0.009  15.726   0.011  15.105   0.012  14.275   0.013
  113    427.55   643.99    16.372   0.008  15.742   0.010  14.991   0.014  14.112   0.018
  114   1157.12   154.38    16.148   0.006  15.754   0.009  14.913   0.025  13.830   0.013
  115   1411.17   798.08    16.339   0.011  15.760   0.011  14.991   0.010  14.141   0.017
  116    133.53  1898.93    16.275   0.011  15.786   0.012  15.006   0.018  14.045   0.023
  117    801.09   450.41    16.269   0.011  15.787   0.008  14.946   0.013  13.871   0.016
  118   1680.85   948.89    16.073   0.010  15.788   0.008  15.069   0.010  14.126   0.016
  119     97.60  1771.51    16.928   0.016  15.818   0.011  14.544   0.021  13.163   0.017
  120    534.19   221.62    17.987   0.038  15.834   0.018  13.874   0.024  11.820   0.021
  121   1835.27   887.32    16.351   0.011  15.820   0.007  15.079   0.012  14.212   0.013
  122    580.82  2005.90    16.852   0.013  15.840   0.013  14.620   0.017  13.247   0.027
  123   1903.27  1100.86    16.171   0.011  15.840   0.008  15.122   0.015  14.254   0.016
  124    366.94  1503.82    16.185   0.008  15.845   0.009  15.291   0.013  14.513   0.015
  125   1296.19  1859.48    17.010   0.014  15.861   0.009  14.558   0.015  13.131   0.014
  126     32.61  1555.70    16.195   0.010  15.862   0.013  15.156   0.020  14.181   0.024
  127   1911.75    33.98    16.257   0.023  15.871   0.017  15.029   0.039  13.974   0.033
  128   1594.61   991.57    16.219   0.013  15.875   0.008  15.157   0.011  14.227   0.014
  129    884.92   535.56    16.627   0.012  15.892   0.008  14.769   0.009  13.440   0.016
  130   1637.10   466.69    16.828   0.009  15.914   0.006  14.681   0.010  13.291   0.013
  131    821.64   418.10    16.273   0.010  15.911   0.008  15.202   0.010  14.264   0.017
  132   1241.49   689.55    16.418   0.011  15.912   0.008  15.182   0.014  14.329   0.014
  133   1375.79  1272.45    16.310   0.010  15.924   0.009  15.324   0.013  14.486   0.018
  134   1094.96  1393.44    16.330   0.010  15.942   0.009  15.291   0.013  14.447   0.020
  135   1403.04   693.50    16.318   0.012  15.941   0.009  15.601   0.013  15.086   0.018
  136   1931.31   365.10    16.367   0.012  15.952   0.010  15.081   0.019  13.966   0.019
  137    803.40   167.60    16.342   0.009  15.956   0.009  15.130   0.022  14.052   0.018
  138    844.83  1060.13    16.541   0.008  15.959   0.009  15.342   0.010  14.430   0.016
  139   1368.07   229.53    16.320   0.008  15.965   0.013  15.185   0.033  14.239   0.050
  140   1587.51   535.02    16.455   0.010  15.971   0.009  15.244   0.018  14.325   0.029
  141   1781.31   372.32    16.285   0.010  15.974   0.008  15.196   0.014  14.180   0.016
  142   1453.41   973.61    16.428   0.010  15.977   0.009  15.194   0.014  14.183   0.015
  143    242.85   127.49    16.687   0.021  15.979   0.008  15.158   0.025  14.236   0.017
  144    121.77   447.95    16.447   0.017  15.994   0.009  15.240   0.015  14.206   0.024
  145     39.68   757.38    16.798   0.109  16.010   0.137  15.098   0.064  13.740   0.040
  146    578.89   853.53    16.874   0.010  16.015   0.008  14.843   0.012  13.471   0.013
  147   1212.59  1223.51    16.363   0.010  16.011   0.009  15.290   0.008  14.342   0.020
  148    552.60  1956.13    16.367   0.009  16.016   0.013  15.292   0.015  14.351   0.027
  149   1516.79    51.46    17.082   0.016  16.031   0.014  14.648   0.029  13.081   0.019
  150   1692.12  1248.35    16.385   0.010  16.032   0.008  15.298   0.011  14.377   0.012
  151    604.92  1774.27    16.611   0.010  16.039   0.010  15.049   0.011  13.901   0.025
  152   1500.19   337.81    17.335   0.021  16.053   0.015  14.678   0.028  13.183   0.029
  153    549.52  1129.65    16.447   0.010  16.041   0.016  15.412   0.019  14.545   0.035
  154   1353.47   330.80    16.486   0.011  16.045   0.008  15.246   0.014  14.271   0.018
  155    631.32   781.71    17.009   0.015  16.056   0.007  14.844   0.013  13.485   0.017
  156   1670.97   666.38    16.389   0.012  16.049   0.009  15.302   0.011  14.342   0.014
  157    270.20  1803.78    16.499   0.008  16.051   0.013  15.236   0.017  14.287   0.022
  158   1492.26  1146.27    17.551   0.016  16.063   0.011  14.633   0.010  13.084   0.012
  159    540.14  1464.20    16.573   0.010  16.063   0.009  15.277   0.012  14.386   0.018
  160    747.46  1111.39    16.571   0.010  16.065   0.009  15.523   0.013  14.735   0.021
  161   1008.41  1520.98    16.554   0.013  16.090   0.010  15.650   0.037  14.971   0.029
  162     82.22  1950.30    16.837   0.011  16.110   0.013  15.140   0.020  14.094   0.030
  163    196.66  1746.29    17.082   0.013  16.120   0.010  14.918   0.020  13.565   0.019
  164    213.54   107.66    16.854   0.019  16.120   0.008  15.279   0.023  14.248   0.014
  165   1751.36   851.63    16.436   0.012  16.120   0.008  15.378   0.010  14.414   0.018
  166    440.25   276.36    16.412   0.012  16.125   0.010  15.262   0.013  14.155   0.015
  167    898.29  1022.78    17.556   0.013  16.147   0.009  14.674   0.008  12.996   0.016
  168    979.98   515.91    16.647   0.012  16.149   0.008  15.172   0.012  13.950   0.015
  169    842.69  1088.46    17.603   0.012  16.165   0.008  14.676   0.009  13.024   0.014
  170   1559.66   439.30    16.464   0.011  16.160   0.010  15.436   0.015  14.522   0.013
  171     59.95   848.09    16.508   0.013  16.164   0.016  15.477   0.023  14.517   0.026
  172    123.93  1789.27    16.693   0.012  16.170   0.011  15.294   0.018  14.292   0.025
  173    819.86  2029.58    16.569   0.046  16.168   0.012  15.489   0.019  14.561   0.034
  174    701.66  1081.66    16.610   0.007  16.180   0.010  15.588   0.012  14.779   0.019
  175   1315.32  1515.81    16.521   0.009  16.188   0.007  15.439   0.013  14.473   0.016
  176   1227.46    81.08    17.413   0.016  16.203   0.015  14.775   0.027  13.141   0.016
  177    404.04  1549.23    16.772   0.014  16.198   0.009  15.418   0.013  14.507   0.023
  178    895.71  1040.15    17.206   0.011  16.213   0.009  14.926   0.010  13.423   0.016
  179   1469.19   609.81    17.200   0.014  16.214   0.010  15.000   0.013  13.633   0.016
  180   1727.67  1612.59    16.572   0.011  16.214   0.010  15.244   0.015  13.984   0.013
  181   1848.13  1712.42    16.621   0.011  16.213   0.013  15.422   0.013  14.425   0.015
  182   1864.78  1986.06    16.522   0.009  16.213   0.012  15.433   0.026  14.443   0.020
  183    209.34  1958.59    18.750   0.026  16.235   0.013  14.294   0.018  11.965   0.027
  184    379.61  1108.41    17.545   0.013  16.242   0.008  14.909   0.014  13.401   0.017
  185   1007.90  1188.73    16.595   0.020  16.232   0.009  15.576   0.045  14.584   0.016
  186    666.97  1907.93    16.553   0.020  16.242   0.035  15.627   0.046  14.834   0.064
  187    122.58   458.59    17.681   0.020  16.257   0.012  14.767   0.014  13.050   0.017
  188    719.33  1008.64    16.770   0.011  16.245   0.008  15.648   0.015  14.837   0.023
  189    815.19  1150.45    17.138   0.028  16.239   0.157  16.140   0.026  15.456   0.026
  190    663.96  1215.43    17.200   0.011  16.265   0.009  15.064   0.013  13.712   0.012
  191    331.52   926.95    16.711   0.011  16.255   0.010  15.771   0.012  15.090   0.021
  192    933.94  2030.25    17.038   0.015  16.262   0.014  15.442   0.016  14.516   0.029
  193   1293.43   650.46    16.732   0.012  16.266   0.011  15.421   0.011  14.317   0.014
  194   1345.33  1855.35    17.123   0.013  16.290   0.011  15.121   0.016  13.762   0.017
  195    344.09  1921.42    16.676   0.012  16.285   0.010  15.551   0.021  14.618   0.023
  196   1323.78  1423.43    16.665   0.010  16.292   0.011  15.476   0.016  14.478   0.017
  197   1546.30  1234.94    16.639   0.014  16.286   0.008  15.933   0.012  15.389   0.021
  198     85.42   230.87    16.785   0.019  16.293   0.010  15.633   0.019  14.686   0.015
  199    323.46  1479.90    16.714   0.010  16.301   0.010  15.517   0.011  14.564   0.022
  200    362.36  1746.73    16.681   0.010  16.320   0.011  15.742   0.015  14.972   0.021
  201    305.96  1627.44    16.656   0.009  16.323   0.012  15.617   0.014  14.672   0.025
  202   1533.82  1440.80    17.526   0.016  16.335   0.015  15.054   0.016  13.652   0.011
  203    995.13  1992.79    16.862   0.013  16.333   0.038  15.325   0.015  14.098   0.032
  204    904.79  1382.90    16.833   0.010  16.328   0.013  15.788   0.015  15.047   0.022
  205    516.59   948.01    17.493   0.015  16.353   0.009  15.121   0.011  13.741   0.009
  206    847.98  1513.47    16.694   0.012  16.345   0.011  15.781   0.014  14.996   0.024
  207   1454.50   711.51    17.375   0.015  16.359   0.010  15.109   0.014  13.692   0.014
  208    506.22  1491.10    16.640   0.010  16.360   0.009  15.691   0.012  14.799   0.022
  209   1515.81   394.35    16.793   0.011  16.368   0.010  15.545   0.010  14.554   0.015
  210   1358.36  1243.14    17.361   0.020  16.394   0.011  15.427   0.009  14.333   0.015
  211     64.58  1106.74    16.447   0.012  16.386   0.012  15.955   0.027  15.201   0.032
  212   1064.30  1852.75    16.978   0.013  16.392   0.016  15.602   0.017  14.594   0.029
  213    343.86   107.42    16.846   0.014  16.394   0.007  15.539   0.027  14.404   0.016
  214    155.46  1675.27    17.946   0.017  16.411   0.013  14.945   0.022  13.347   0.022
  215   1588.08  1338.29    17.062   0.012  16.403   0.010  15.578   0.012  14.635   0.016
  216    910.76  1056.85    16.969   0.008  16.405   0.009  15.793   0.013  14.954   0.024
  217    779.75  1086.44    16.883   0.013  16.404   0.010  15.908   0.015  15.189   0.021
  218    712.12   650.20    17.318   0.013  16.417   0.008  15.181   0.012  13.753   0.013
  219    763.59  1036.47    16.973   0.011  16.418   0.012  15.784   0.013  14.887   0.021
  220    847.38  1099.33    17.093   0.012  16.424   0.010  15.422   0.012  14.130   0.017
  221   1866.65  1603.73    17.621   0.016  16.430   0.010  15.262   0.014  13.887   0.017
  222    835.93  1006.15    16.901   0.015  16.424   0.007  15.693   0.012  14.643   0.018
  223    849.46  1348.42    17.195   0.011  16.434   0.010  15.475   0.013  14.268   0.024
  224    800.69  1128.28    16.931   0.019  16.429   0.021  15.901   0.051  15.167   0.059
  225   1954.68   179.78    17.768   0.024  16.451   0.015  14.999   0.032  13.465   0.029
  226   1094.01   600.07    16.819   0.012  16.441   0.010  15.700   0.011  14.741   0.010
  227    231.18   687.40    16.814   0.011  16.445   0.013  15.715   0.023  14.717   0.018
  228   1229.47   450.03    17.309   0.012  16.464   0.011  15.256   0.014  13.858   0.015
  229   1790.26  1584.44    17.250   0.019  16.468   0.012  15.517   0.058  14.448   0.085
  230   1591.37    33.52    18.738   0.027  16.482   0.016  14.674   0.029  12.689   0.025
  231     23.37  1276.64    16.876   0.012  16.466   0.014  15.701   0.023  14.628   0.026
  232   1592.61   119.03    16.931   0.011  16.469   0.014  15.681   0.025  14.690   0.020
  233     42.27   658.79    16.799   0.015  16.468   0.016  15.790   0.018  14.845   0.023
  234    930.97  1331.15    16.928   0.009  16.469   0.011  15.933   0.013  15.220   0.020
  235   1235.10  1720.61    16.785   0.012  16.475   0.009  15.761   0.018  14.818   0.020
  236    790.20  1291.99    16.953   0.019  16.481   0.029  15.619   0.066  14.577   0.066
  237    159.52   529.97    16.970   0.021  16.489   0.012  15.680   0.015  14.764   0.019
  238   1121.64   317.88    17.066   0.010  16.491   0.009  15.530   0.014  14.360   0.020
  239     67.88  2037.86    16.785   0.012  16.486   0.013  15.911   0.020  15.064   0.027
  240    181.75  1815.50    17.511   0.019  16.502   0.012  15.226   0.022  13.816   0.023
  241   1582.74  1281.97    16.807   0.013  16.497   0.011  15.800   0.015  14.804   0.014
  242   1270.57  1671.78    16.791   0.009  16.499   0.010  15.764   0.015  14.789   0.022
  243    886.74  1132.65    17.389   0.012  16.510   0.009  15.276   0.011  13.824   0.017
  244   1623.05   636.70    16.804   0.014  16.505   0.011  15.722   0.013  14.728   0.016
  245    407.66  1092.44    17.697   0.013  16.539   0.008  15.230   0.012  13.734   0.017
  246    923.67  1061.00    17.032   0.011  16.534   0.010  15.999   0.014  15.272   0.020
  247    286.67   995.05    17.267   0.017  16.550   0.012  15.409   0.016  14.014   0.016
  248   1638.10  1437.09    17.150   0.015  16.551   0.009  15.660   0.014  14.598   0.018
  249   1027.84   194.02    17.452   0.013  16.558   0.011  15.345   0.022  13.927   0.016
  250    128.03   752.93    17.351   0.019  16.562   0.013  15.351   0.015  13.915   0.021
  251    902.51  1079.12    17.170   0.009  16.555   0.009  15.915   0.011  15.083   0.019
  252   1447.55   708.96    17.378   0.016  16.567   0.009  15.414   0.015  14.114   0.013
  253    581.42  1860.85    17.084   0.016  16.564   0.012  15.700   0.011  14.719   0.027
  254    590.49   993.25    17.061   0.011  16.559   0.013  16.090   0.013  15.378   0.021
  255     52.19  1198.44    16.924   0.010  16.565   0.014  15.874   0.024  14.897   0.027
  256    803.74  1212.78    17.028   0.015  16.562   0.011  16.035   0.014  15.287   0.019
  257    779.02  1346.87    16.922   0.012  16.569   0.012  15.787   0.011  14.810   0.020
  258    803.31  1859.41    16.981   0.013  16.575   0.014  15.773   0.017  14.743   0.033
  259     88.35   959.85    16.898   0.014  16.579   0.013  15.926   0.022  14.988   0.029
  260    591.75   922.47    17.030   0.012  16.586   0.009  15.736   0.012  14.651   0.018
  261    622.88   623.68    17.769   0.017  16.595   0.010  15.244   0.014  13.726   0.017
  262    494.44    17.30    17.298   0.015  16.590   0.013  15.591   0.031  14.200   0.021
  263   1350.71  1005.66    17.049   0.015  16.588   0.009  15.745   0.014  14.726   0.013
  264   1910.14    39.30    17.057   0.023  16.590   0.028  16.003   0.037  15.334   0.037
  265   1627.12  1343.18    16.931   0.011  16.607   0.011  16.061   0.014  15.248   0.016
  266   1572.82  1081.57    17.369   0.015  16.627   0.012  15.478   0.014  14.126   0.014
  267   1963.52  1748.25    17.081   0.015  16.627   0.014  15.821   0.021  14.808   0.020
  268    772.12  1093.52    17.089   0.017  16.625   0.016  16.100   0.019  15.330   0.020
  269   1147.56   103.20    17.123   0.014  16.634   0.011  15.674   0.023  14.437   0.017
  270    859.21  1728.15    17.049   0.035  16.632   0.059  15.892   0.070  14.932   0.084
  271    212.21  1360.17    17.308   0.012  16.637   0.010  15.667   0.018  14.586   0.022
  272   1315.41   214.83    16.953   0.016  16.634   0.011  15.872   0.019  14.883   0.017
  273    695.34  1995.37    17.038   0.015  16.633   0.015  16.211   0.024  15.567   0.041
  274    502.26  1530.74    17.528   0.018  16.645   0.013  15.706   0.015  14.680   0.024
  275   1928.12  1459.01    17.624   0.017  16.653   0.011  15.421   0.013  14.054   0.015
  276    271.04  1622.21    17.443   0.009  16.648   0.011  15.714   0.018  14.602   0.024
  277   1935.27  2037.57    18.006   0.019  16.657   0.020  15.333   0.027  13.879   0.026
  278   1930.82  1258.70    16.932   0.015  16.648   0.014  15.919   0.018  14.943   0.017
  279   1942.16  1037.64    16.995   0.014  16.653   0.015  15.899   0.018  14.945   0.019
  280    895.26  1213.61    17.143   0.012  16.657   0.010  16.076   0.017  15.255   0.027
  281    893.31  1017.90    17.204   0.012  16.661   0.010  16.060   0.013  15.201   0.025
  282    262.14    26.84    19.102   0.029  16.685   0.014  14.694   0.036  12.487   0.019
  283    661.57   701.71    17.101   0.013  16.665   0.008  15.890   0.014  14.884   0.019
  284    823.49    26.50    17.470   0.014  16.673   0.012  15.783   0.029  14.717   0.019
  285   1084.15  1108.38    17.058   0.009  16.667   0.012  16.233   0.013  15.588   0.020
  286   1048.23  1231.00    17.018   0.012  16.674   0.010  15.989   0.017  15.084   0.020
  287   1782.88    41.04    17.404   0.017  16.681   0.018  15.602   0.035  14.380   0.029
  288   1902.04  1758.82    16.998   0.009  16.672   0.013  16.182   0.015  15.405   0.015
  289    679.79   251.32    18.311   0.023  16.696   0.015  15.195   0.013  13.525   0.015
  290   1123.01  1866.07    18.096   0.020  16.700   0.013  15.290   0.017  13.628   0.027
  291   1556.52   479.96    17.735   0.022  16.698   0.012  15.425   0.023  14.016   0.019
  292   1023.98  1493.22    17.129   0.011  16.688   0.012  16.162   0.015  15.431   0.022
  293     82.99  1711.02    17.003   0.011  16.690   0.014  16.099   0.017  15.238   0.026
  294    731.79  1996.68    17.715   0.023  16.703   0.016  15.550   0.021  14.253   0.036
  295    808.88  1069.76    17.204   0.011  16.699   0.010  16.160   0.015  15.432   0.025
  296   1524.72  1536.93    17.150   0.014  16.698   0.013  16.246   0.024  15.576   0.023
  297     64.30  1858.47    17.013   0.012  16.705   0.014  15.915   0.022  15.020   0.033
  298   1002.94    53.09    17.473   0.018  16.713   0.014  15.484   0.028  13.928   0.016
  299    195.99   934.77    17.103   0.008  16.710   0.013  15.898   0.020  14.849   0.016
  300    779.80  1110.92    17.563   0.013  16.717   0.013  15.520   0.012  14.173   0.013
  301    494.63  1744.79    17.045   0.010  16.712   0.012  16.009   0.018  15.091   0.028
  302   1212.29   456.86    17.087   0.011  16.714   0.009  15.892   0.015  14.798   0.021
  303    273.64  1931.96    17.067   0.010  16.712   0.010  16.060   0.020  15.216   0.020
  304   1652.57   521.57    17.021   0.012  16.719   0.011  15.997   0.012  15.008   0.018
  305    837.48  1076.82    17.315   0.012  16.719   0.010  16.050   0.014  15.161   0.026
  306    622.14   759.73    17.119   0.012  16.718   0.010  16.118   0.016  15.280   0.020
  307    750.69   182.23    17.121   0.010  16.724   0.012  15.913   0.019  14.827   0.016
  308    574.52  1094.99    17.192   0.013  16.723   0.011  16.253   0.021  15.559   0.027
  309    685.36  1674.06    18.440   0.023  16.742   0.010  15.267   0.012  13.732   0.025
  310   1383.28   267.46    17.031   0.014  16.733   0.013  15.969   0.015  14.947   0.017
  311     40.34  1739.60    17.596   0.013  16.736   0.015  15.788   0.020  14.702   0.027
  312    531.97  1273.73    17.172   0.009  16.733   0.009  16.251   0.014  15.557   0.021
  313    395.29   388.33    17.561   0.014  16.746   0.012  15.552   0.012  14.158   0.023
  314   1299.05  1324.11    17.045   0.007  16.739   0.012  16.066   0.015  15.160   0.013
  315    909.51  1182.61    17.239   0.013  16.736   0.012  16.203   0.015  15.441   0.028
