   ID      X        Y         U       e(U)     B      e(B)     V      e(V)     I      e(I)
  751   1562.39  1326.51    18.040   0.020  17.724   0.017  17.223   0.018  16.444   0.032
  752    714.54  1711.88    18.316   0.028  17.735   0.016  16.628   0.014  15.247   0.031
  753   1158.63  1049.23    18.677   0.028  17.734   0.014  16.673   0.019  15.499   0.023
  754   1508.52  1755.07    18.070   0.018  17.725   0.020  17.190   0.024  16.429   0.030
  755    982.02   253.98    18.033   0.018  17.729   0.018  17.011   0.029  16.067   0.023
  756    593.26   606.97    18.326   0.025  17.733   0.015  16.774   0.020  15.579   0.031
  757    949.04   782.38    18.163   0.019  17.738   0.017  16.777   0.018  15.594   0.024
  758   1081.52  1815.67    18.073   0.020  17.736   0.018  17.014   0.023  16.085   0.040
  759    470.24  1978.13    17.942   0.056  17.742   0.017  16.775   0.083  15.701   0.083
  760    769.33  1690.35    18.071   0.022  17.736   0.020  17.184   0.026  16.406   0.049
  761    445.85  1720.99    18.226   0.021  17.745   0.017  16.924   0.019  15.867   0.021
  762    681.59  1477.27    18.063   0.014  17.746   0.016  17.012   0.019  16.120   0.039
  763    400.23  1589.80    18.022   0.023  17.749   0.018  16.896   0.019  15.825   0.027
  764    100.61   613.96    18.568   0.029  17.758   0.017  16.507   0.021  15.042   0.020
  765   1922.93    49.40    18.923   0.034  17.760   0.021  16.429   0.036  14.956   0.037
  766   2013.64  1087.24    18.106   0.021  17.756   0.019  16.991   0.024  16.037   0.027
  767   1429.93  1423.59    18.054   0.017  17.756   0.012  17.054   0.020  16.082   0.018
  768   1298.73   407.01    18.122   0.027  17.759   0.019  17.092   0.023  16.150   0.028
  769    737.64   758.29    18.135   0.017  17.764   0.018  16.957   0.020  15.843   0.024
  770    937.79  1037.04    18.092   0.019  17.765   0.015  17.006   0.015  16.047   0.024
  771    902.97  1167.87    18.307   0.034  17.767   0.040  17.149   0.028  16.311   0.050
  772   1029.88   486.28    18.133   0.027  17.771   0.015  16.880   0.014  15.745   0.023
  773     41.73   981.33    18.167   0.023  17.769   0.022  17.017   0.029  15.976   0.031
  774   1499.73  1814.18    18.195   0.025  17.775   0.013  16.856   0.023  15.765   0.029
  775    397.85  1419.76    18.172   0.029  17.770   0.020  17.208   0.018  16.346   0.027
  776    866.15  1284.86    18.162   0.020  17.770   0.017  17.186   0.027  16.421   0.038
  777     86.86   110.74    18.312   0.026  17.778   0.019  16.848   0.024  15.615   0.023
  778    668.91   819.94    18.158   0.021  17.774   0.017  17.125   0.019  16.186   0.024
  779    146.54  1571.86    18.287   0.019  17.778   0.017  16.908   0.024  15.817   0.028
  780    233.93  1826.71    18.495   0.029  17.785   0.023  16.690   0.022  15.461   0.022
  781   1391.94  1540.94    18.094   0.023  17.781   0.015  17.161   0.019  16.251   0.030
  782    376.26  1555.26    19.324   0.035  17.795   0.018  16.418   0.016  15.029   0.030
  783   1254.03    85.58    18.402   0.029  17.791   0.019  16.749   0.026  15.473   0.019
  784   1490.23  1095.97    18.134   0.019  17.784   0.016  17.185   0.018  16.355   0.034
  785    961.49  1082.48    18.293   0.025  17.788   0.018  17.160   0.027  16.248   0.042
  786   1316.36   145.88    19.306   0.041  17.808   0.017  16.302   0.024  14.658   0.017
  787   1842.88  1231.26    18.315   0.029  17.800   0.017  16.812   0.016  15.664   0.021
  788   1963.90  1320.96    17.986   0.021  17.795   0.014  17.151   0.020  16.248   0.018
  789    719.95   826.53    18.103   0.023  17.796   0.016  17.117   0.018  16.154   0.036
  790   1723.92  1195.44    18.009   0.019  17.795   0.017  17.177   0.022  16.249   0.026
  791   1170.95    29.36    18.362   0.022  17.805   0.029  16.764   0.040  15.474   0.033
  792    879.18  1196.60    18.223   0.028  17.801   0.014  17.081   0.021  16.116   0.022
  793    934.23  1789.19    18.832   0.033  17.813   0.020  16.509   0.017  15.072   0.033
  794   1227.72  1849.09    18.322   0.026  17.808   0.017  16.921   0.020  15.755   0.031
  795    447.68  1357.45    18.181   0.021  17.810   0.017  17.007   0.023  16.011   0.029
  796   1253.33   277.49    18.620   0.024  17.818   0.016  16.587   0.017  15.175   0.020
  797   1676.98  1305.02    18.494   0.027  17.817   0.018  16.676   0.016  15.354   0.017
  798   1389.01  1348.78    18.125   0.021  17.811   0.020  17.135   0.023  16.225   0.028
  799    237.63   559.16    18.114   0.018  17.814   0.022  17.113   0.022  16.121   0.029
  800   1766.72   588.17    18.165   0.026  17.819   0.014  17.018   0.018  15.966   0.022
  801   1715.41   282.86    19.019   0.037  17.831   0.010  16.449   0.015  14.840   0.017
  802    238.04  1802.64    18.122   0.025  17.821   0.024  17.050   0.027  16.071   0.033
  803    592.76  1517.57    18.273   0.023  17.829   0.021  16.950   0.017  15.868   0.028
  804    815.85  1109.61    18.363   0.021  17.825   0.015  17.184   0.020  16.352   0.029
  805    886.86  1582.41    18.220   0.022  17.831   0.016  16.940   0.017  15.783   0.023
  806   1867.75   773.53    18.242   0.022  17.831   0.023  16.923   0.018  15.728   0.020
  807     43.46   542.51    18.474   0.024  17.836   0.018  16.778   0.020  15.470   0.021
  808    635.97  1592.11    18.238   0.020  17.834   0.022  17.080   0.024  16.068   0.033
  809    521.14  1825.67    18.340   0.028  17.839   0.020  16.855   0.021  15.699   0.025
  810   1962.41  1281.84    18.175   0.021  17.837   0.017  17.216   0.027  16.294   0.032
  811   1367.82  1999.60    18.182   0.018  17.840   0.022  17.072   0.027  16.035   0.026
  812    799.76  1372.85    18.978   0.047  17.846   0.030  16.693   0.028  15.403   0.033
  813    331.01   858.54    18.144   0.024  17.842   0.016  17.012   0.021  15.911   0.024
  814   1514.78   442.13    18.727   0.032  17.851   0.019  16.699   0.020  15.345   0.018
  815     75.41  1863.86    18.199   0.019  17.845   0.021  17.159   0.026  16.226   0.035
  816     98.03   524.41    18.267   0.026  17.850   0.018  17.037   0.025  15.903   0.026
  817    369.74   972.02    18.202   0.030  17.852   0.019  16.985   0.023  15.922   0.020
  818   1421.74   645.10    18.694   0.032  17.858   0.023  16.732   0.021  15.423   0.023
  819   1327.35  1562.71    18.530   0.027  17.861   0.020  16.853   0.022  15.740   0.021
  820   1492.26  1543.91    18.214   0.022  17.859   0.020  17.063   0.024  15.992   0.028
  821   1582.65  1324.08    18.236   0.024  17.859   0.022  17.098   0.024  16.038   0.023
  822    792.02  1140.10    18.279   0.020  17.862   0.017  17.251   0.021  16.458   0.028
  823    870.15  1852.74    18.264   0.022  17.867   0.022  17.047   0.024  15.974   0.029
  824   1163.48  1199.36    18.323   0.024  17.872   0.020  16.986   0.018  15.803   0.040
  825   1852.02  1330.37    19.204   0.036  17.887   0.015  16.476   0.015  14.795   0.018
  826     39.11  1894.03    18.201   0.029  17.880   0.022  17.184   0.029  16.252   0.033
  827     69.91   413.77    18.285   0.045  17.881   0.057  17.205   0.027  16.081   0.035
  828    646.92  1775.78    18.190   0.025  17.882   0.022  17.146   0.025  16.153   0.033
  829   1929.25  1941.94    18.239   0.028  17.884   0.021  17.127   0.029  16.125   0.037
  830   1920.50  1858.93    18.571   0.033  17.893   0.021  16.870   0.022  15.634   0.025
  831   1820.32   599.57    18.252   0.023  17.890   0.020  17.159   0.026  16.218   0.023
  832   1969.71  1320.15    18.848   0.032  17.896   0.020  16.806   0.021  15.530   0.027
  833    280.42  1582.56    18.216   0.024  17.892   0.020  17.119   0.017  16.125   0.024
  834   1282.66  1592.44    18.256   0.026  17.894   0.017  17.061   0.020  15.974   0.026
  835   1232.81  1813.00    18.137   0.021  17.890   0.016  17.281   0.022  16.436   0.036
  836   1002.70   463.70    18.453   0.025  17.901   0.016  16.909   0.021  15.704   0.019
  837    325.56  1909.09    18.274   0.022  17.900   0.018  17.028   0.019  15.997   0.024
  838    698.23   529.84    18.192   0.021  17.898   0.023  17.121   0.022  16.074   0.029
  839     25.13   867.70    18.266   0.020  17.898   0.021  17.166   0.022  16.192   0.035
  840    392.13   753.47    18.736   0.027  17.905   0.019  16.844   0.021  15.628   0.026
  841    653.84   403.00    18.144   0.024  17.902   0.016  17.166   0.017  16.150   0.026
  842    797.91    11.39    19.014   0.033  17.916   0.019  16.538   0.033  14.900   0.016
  843   1647.96  1926.73    18.470   0.029  17.909   0.017  17.015   0.024  15.894   0.027
  844    631.83   921.59    18.321   0.024  17.910   0.020  17.123   0.025  16.092   0.020
  845   1626.23  1316.27    18.346   0.023  17.911   0.021  17.144   0.025  16.101   0.024
  846   1805.91  1544.92    18.245   0.019  17.909   0.021  17.394   0.023  16.653   0.031
  847     86.86  1262.47    18.582   0.036  17.920   0.027  16.869   0.022  15.701   0.026
  848   1629.06   833.39    18.403   0.030  17.918   0.016  17.039   0.017  15.959   0.021
  849   1662.59  1523.65    18.298   0.022  17.919   0.018  17.035   0.024  15.938   0.020
  850    543.21  1767.45    18.382   0.029  17.919   0.017  17.062   0.025  16.050   0.036
  851   1719.42   558.86    18.264   0.027  17.921   0.020  17.006   0.016  15.928   0.025
  852      5.81   550.90    18.240   0.024  17.927   0.015  17.030   0.019  15.911   0.032
  853   1042.71  1243.70    18.238   0.023  17.926   0.020  17.141   0.025  16.152   0.030
  854    203.83  1440.66    18.311   0.022  17.927   0.020  17.126   0.024  16.130   0.023
  855   1205.69   187.24    18.382   0.040  17.933   0.033  16.999   0.039  15.834   0.049
  856   1014.10   974.93    18.546   0.023  17.931   0.017  17.187   0.019  16.258   0.031
  857    399.24   784.64    18.310   0.067  17.928   0.084  17.463   0.028  16.485   0.041
  858    337.78  1067.59    18.395   0.022  17.931   0.025  17.319   0.027  16.466   0.024
  859    821.54  1549.97    18.303   0.042  17.937   0.025  17.410   0.050  16.628   0.047
  860   1326.41  1094.59    18.329   0.019  17.944   0.019  17.080   0.024  16.020   0.026
  861   1749.55   195.74    18.328   0.024  17.944   0.017  17.083   0.019  15.890   0.020
  862    644.36  1605.79    18.310   0.029  17.946   0.020  17.269   0.022  16.316   0.042
  863    744.09  1952.88    18.119   0.020  17.950   0.022  17.249   0.026  16.393   0.036
  864    651.97   254.35    18.115   0.032  17.957   0.018  16.946   0.021  15.749   0.022
  865   1957.24  1546.84    18.241   0.024  17.954   0.023  17.275   0.025  16.295   0.036
  866    225.34   928.81    18.257   0.023  17.959   0.019  17.152   0.024  16.137   0.020
  867    870.38  1011.99    18.537   0.025  17.959   0.021  17.221   0.021  16.341   0.028
  868   1559.67  1175.64    18.580   0.026  17.969   0.022  16.952   0.023  15.763   0.019
  869   1956.32  1701.78    18.288   0.026  17.965   0.021  17.235   0.023  16.270   0.033
  870     69.50  1795.57    18.276   0.025  17.965   0.025  17.281   0.028  16.341   0.036
  871   1700.35   259.92    18.745   0.028  17.971   0.017  16.920   0.027  15.611   0.021
  872    576.92  1630.03    18.293   0.031  17.965   0.044  17.306   0.060  16.391   0.058
  873    438.09  1161.54    18.298   0.019  17.967   0.023  17.326   0.023  16.474   0.047
  874   1780.18   977.56    18.701   0.022  17.973   0.018  16.937   0.018  15.740   0.028
  875   1352.95   282.68    18.617   0.027  17.973   0.019  17.031   0.021  15.934   0.020
  876    121.04   916.24    18.455   0.048  17.970   0.049  17.295   0.038  16.240   0.032
  877    409.69   874.20    18.516   0.035  17.977   0.024  16.922   0.044  15.685   0.046
  878   1665.56   205.61    18.419   0.024  17.975   0.021  17.106   0.027  15.957   0.030
  879      6.14   796.99    18.299   0.020  17.976   0.024  17.240   0.028  16.166   0.029
  880    587.03   879.11    18.331   0.021  17.974   0.018  17.413   0.023  16.636   0.027
  881    181.77  1023.83    18.521   0.028  17.986   0.020  16.981   0.025  15.735   0.024
  882    421.67   160.77    18.345   0.025  17.988   0.031  16.980   0.066  15.750   0.071
  883   1841.18  1711.10    18.676   0.034  17.987   0.023  17.089   0.020  16.007   0.022
  884    848.43   618.41    18.416   0.025  17.987   0.023  17.104   0.021  16.048   0.034
  885   1340.10  2001.44    18.251   0.025  17.984   0.021  17.266   0.030  16.370   0.026
  886    702.33  1703.61    18.311   0.023  17.986   0.024  17.273   0.023  16.314   0.035
  887   1897.48  1667.54    18.285   0.021  17.988   0.016  17.215   0.027  16.204   0.024
  888    934.54   990.44    18.440   0.024  17.986   0.020  17.377   0.020  16.552   0.030
  889    771.79  1746.94    18.292   0.029  17.992   0.020  17.223   0.018  16.329   0.037
  890    374.47   860.55    18.283   0.023  17.991   0.019  17.331   0.025  16.465   0.031
  891   1272.53  1120.08    18.547   0.034  17.996   0.017  17.049   0.019  15.860   0.016
  892    555.39  1233.40    19.178   0.048  17.999   0.016  16.868   0.016  15.637   0.028
  893    791.09  1136.48    18.420   0.028  17.995   0.020  17.354   0.024  16.577   0.032
  894   1285.78   933.02    18.482   0.030  17.993   0.021  17.594   0.023  16.864   0.029
  895    724.65   116.63    18.489   0.025  18.003   0.021  16.994   0.022  15.678   0.022
  896    989.91   403.94    19.470   0.040  18.011   0.017  16.557   0.016  14.942   0.018
  897    887.63   938.15    18.400   0.025  18.007   0.017  17.146   0.017  16.080   0.031
  898   1399.26   407.32    18.575   0.026  18.008   0.022  17.101   0.025  15.985   0.023
  899   1885.16   977.34    18.474   0.028  18.011   0.017  17.066   0.027  15.951   0.025
  900    263.06  1828.10    18.330   0.025  18.012   0.019  17.256   0.032  16.325   0.039
  901   1502.15  1769.59    19.224   0.035  18.020   0.019  16.869   0.023  15.564   0.019
  902   1607.04   588.50    18.316   0.019  18.014   0.017  17.321   0.022  16.352   0.031
  903   1796.44  1918.56    18.306   0.028  18.013   0.015  17.377   0.024  16.440   0.024
  904   1759.12  1356.47    18.548   0.034  18.019   0.024  17.077   0.021  15.941   0.022
  905     72.79  1077.53    18.361   0.024  18.018   0.025  17.112   0.024  15.923   0.027
  906   1951.19  1364.63    18.532   0.033  18.021   0.021  17.057   0.018  15.824   0.028
  907    751.80   656.61    18.294   0.023  18.018   0.016  17.266   0.023  16.248   0.022
  908   1589.81  1444.06    18.413   0.020  18.023   0.019  17.128   0.022  16.003   0.020
  909    919.53  1325.54    18.350   0.025  18.025   0.013  17.346   0.023  16.448   0.038
  910   2003.44  1833.11    18.279   0.020  18.028   0.020  17.320   0.029  16.398   0.034
  911   1104.47   612.33    18.395   0.024  18.030   0.018  17.371   0.023  16.371   0.030
  912    509.90  1342.02    18.245   0.026  18.033   0.019  17.295   0.017  16.239   0.024
  913   1206.52  1355.57    18.972   0.031  18.038   0.023  16.967   0.023  15.749   0.018
  914    855.84   941.71    18.636   0.020  18.039   0.014  17.374   0.026  16.459   0.030
  915   1689.41  1980.59    18.386   0.022  18.039   0.021  17.368   0.019  16.416   0.043
  916   1143.06  1502.65    18.279   0.024  18.040   0.019  17.398   0.026  16.498   0.031
  917   1988.41  1696.87    18.303   0.023  18.045   0.022  17.376   0.029  16.442   0.034
  918    470.34  1392.16    18.340   0.026  18.045   0.018  17.448   0.028  16.627   0.026
  919   1841.06    77.24    18.518   0.032  18.053   0.020  17.065   0.028  15.937   0.032
  920     34.84   365.62    18.447   0.033  18.054   0.031  17.200   0.033  16.074   0.042
  921    122.08  1054.03    18.379   0.028  18.054   0.021  17.257   0.021  16.224   0.031
  922     20.58    95.30    18.477   0.027  18.052   0.025  17.341   0.035  16.238   0.028
  923    712.70  1836.84    18.356   0.025  18.057   0.024  17.191   0.026  16.123   0.040
  924   1440.77   514.23    18.695   0.035  18.059   0.024  17.158   0.031  16.043   0.023
  925    358.44  1809.65    18.470   0.034  18.062   0.019  17.081   0.029  16.015   0.034
  926    428.04   970.51    18.517   0.027  18.061   0.017  17.160   0.020  16.093   0.026
  927    822.12   971.05    18.560   0.026  18.058   0.022  17.435   0.024  16.562   0.036
  928   1724.27   767.80    18.389   0.020  18.063   0.021  17.338   0.025  16.320   0.028
  929    353.71  1326.98    18.390   0.025  18.067   0.023  17.388   0.022  16.420   0.028
  930    315.73   394.26    19.339   0.043  18.082   0.020  16.686   0.018  15.079   0.020
  931    987.76   806.34    18.579   0.027  18.075   0.020  17.261   0.019  16.273   0.024
  932   1057.75  1015.71    18.508   0.022  18.072   0.021  17.422   0.022  16.597   0.040
  933   1121.68   827.13    18.466   0.031  18.076   0.017  17.277   0.025  16.198   0.029
  934   1094.79   361.27    18.487   0.030  18.076   0.022  17.338   0.023  16.269   0.024
  935    886.89   914.64    18.605   0.028  18.077   0.030  17.369   0.020  16.461   0.033
  936    889.17  1512.34    18.654   0.029  18.082   0.022  17.097   0.017  15.870   0.028
  937   1069.39  1678.79    18.444   0.027  18.079   0.016  17.361   0.021  16.424   0.039
  938    703.87  1820.40    18.612   0.023  18.085   0.019  17.003   0.016  15.814   0.035
  939    160.29  1295.74    18.740   0.028  18.091   0.027  16.976   0.021  15.607   0.026
  940    722.53   793.55    18.472   0.021  18.083   0.019  17.448   0.019  16.626   0.043
  941    462.79  1777.51    18.321   0.031  18.083   0.026  17.436   0.032  16.578   0.034
  942   1878.75  1971.40    18.344   0.024  18.083   0.026  17.516   0.034  16.638   0.030
  943    772.80  1362.41    18.556   0.030  18.090   0.022  17.119   0.015  16.024   0.028
  944    392.39  1646.81    18.380   0.024  18.086   0.018  17.391   0.029  16.473   0.037
  945      7.65   703.15    18.944   0.037  18.094   0.022  17.003   0.024  15.702   0.032
  946    846.96  1184.81    18.588   0.032  18.088   0.019  17.440   0.027  16.520   0.029
  947    337.93   793.01    18.438   0.025  18.092   0.023  17.347   0.023  16.393   0.028
  948   2020.29   480.70    18.495   0.030  18.097   0.023  17.078   0.023  15.786   0.026
  949    275.33  1226.13    16.922   0.017  18.075   0.023  18.455   0.045  18.638   0.125
  950    719.78   398.14    18.372   0.023  18.095   0.021  17.254   0.018  16.150   0.021
  951   1476.79  1467.60    18.566   0.031  18.095   0.024  17.264   0.020  16.156   0.024
  952    894.96  1738.93    18.522   0.028  18.097   0.026  17.261   0.018  16.196   0.037
  953   1264.71   501.76    18.541   0.023  18.099   0.023  17.191   0.022  16.061   0.032
  954   1009.49   399.97    18.888   0.032  18.105   0.019  16.906   0.089  15.305   0.024
  955    179.05  1691.67    18.678   0.027  18.103   0.021  17.172   0.023  15.990   0.031
  956    397.17  1905.28    18.398   0.025  18.099   0.025  17.375   0.027  16.402   0.035
  957   1516.95    77.39    18.716   0.029  18.106   0.019  17.068   0.033  15.809   0.032
  958   1796.31  1495.22    18.412   0.028  18.102   0.023  17.457   0.023  16.573   0.035
  959   1305.80  1020.14    18.610   0.040  18.106   0.023  17.214   0.024  15.997   0.023
  960    267.95   806.23    18.480   0.025  18.106   0.019  17.235   0.023  16.064   0.017
  961    532.50  1110.86    18.398   0.026  18.107   0.020  17.289   0.022  16.231   0.036
  962   1626.49   115.51    19.393   0.046  18.114   0.026  16.938   0.023  15.583   0.025
  963    757.92  1126.18    18.438   0.024  18.108   0.020  17.322   0.026  16.281   0.025
  964   1809.64  1666.59    18.771   0.030  18.113   0.028  17.055   0.023  15.792   0.018
  965   1142.11   772.63    18.537   0.029  18.112   0.021  17.199   0.019  16.063   0.025
  966   1856.21  1872.96    18.487   0.026  18.109   0.042  17.404   0.023  16.413   0.022
  967    585.00   966.77    18.549   0.033  18.113   0.020  17.266   0.019  16.211   0.025
  968     66.06   280.02    18.441   0.033  18.112   0.020  17.337   0.026  16.204   0.021
  969    828.08  1422.70    18.453   0.023  18.113   0.023  17.292   0.023  16.255   0.030
  970    890.34  1459.09    18.943   0.029  18.122   0.022  16.890   0.014  15.449   0.027
  971    412.36  1581.61    18.593   0.024  18.118   0.025  17.167   0.022  15.999   0.027
  972    772.02   431.30    18.555   0.033  18.115   0.025  17.466   0.032  16.610   0.040
  973   1435.23   245.75    18.444   0.021  18.116   0.016  17.475   0.024  16.565   0.032
  974   1896.30  1649.73    18.397   0.029  18.116   0.024  17.508   0.032  16.554   0.037
  975   1830.15  1404.85    18.463   0.023  18.120   0.020  17.343   0.024  16.273   0.026
  976   1094.31  1869.20    18.461   0.034  18.123   0.023  17.190   0.025  16.044   0.045
  977   1171.99  1965.56    18.566   0.028  18.122   0.018  17.298   0.023  16.285   0.027
  978   1872.65  1436.18    18.417   0.028  18.121   0.023  17.333   0.018  16.387   0.029
  979   1790.03  1786.67    18.885   0.038  18.128   0.023  17.090   0.023  15.867   0.025
  980    999.17  1343.20    19.470   0.042  18.131   0.026  16.909   0.019  15.566   0.029
  981    990.49  1061.26    18.511   0.029  18.126   0.017  17.343   0.019  16.292   0.030
  982    237.02  1763.04    18.632   0.029  18.129   0.020  17.248   0.027  16.136   0.029
  983    932.67   946.47    19.552   0.057  18.139   0.018  16.682   0.015  15.059   0.022
  984   1596.34   237.89    18.691   0.024  18.133   0.022  17.167   0.022  15.942   0.017
  985   1629.68    52.95    18.613   0.025  18.133   0.018  17.168   0.031  15.972   0.037
  986    809.41  1461.48    18.584   0.031  18.132   0.028  17.310   0.030  16.239   0.040
  987   1193.38  1283.34    18.695   0.028  18.137   0.026  17.256   0.021  16.076   0.035
  988   1342.00   642.84    18.607   0.027  18.139   0.022  17.314   0.023  16.229   0.026
  989   1343.23  1048.69    18.676   0.028  18.144   0.015  17.113   0.018  15.936   0.018
  990    877.24   372.36    18.455   0.022  18.143   0.022  17.323   0.028  16.260   0.025
  991   1171.38  1958.01    18.455   0.027  18.146   0.027  17.308   0.036  16.177   0.037
  992   1333.56  1874.21    18.783   0.027  18.149   0.029  17.187   0.020  16.041   0.037
  993    992.32   938.02    18.638   0.033  18.146   0.022  17.445   0.025  16.490   0.032
  994    427.87   377.76    19.050   0.039  18.161   0.019  16.905   0.018  15.417   0.026
  995    585.86  2043.15    18.653   0.030  18.157   0.021  17.255   0.023  16.234   0.030
  996    572.68  1326.42    18.885   0.034  18.160   0.017  17.171   0.019  16.020   0.030
  997   1037.43    95.69    18.520   0.021  18.158   0.025  17.322   0.028  16.272   0.030
  998    857.27   926.16    18.523   0.029  18.160   0.019  17.272   0.023  16.118   0.028
  999    704.88  1375.21    19.322   0.039  18.168   0.025  16.819   0.019  15.344   0.023
 1000    151.46   812.40    19.098   0.032  18.164   0.020  17.052   0.026  15.780   0.017
 1001    454.50  1040.95    19.083   0.038  18.166   0.022  16.973   0.022  15.634   0.022
 1002    994.51  1706.38    18.375   0.023  18.162   0.065  17.186   0.017  16.080   0.045
 1003    607.89   408.98    18.558   0.024  18.160   0.018  17.424   0.026  16.423   0.021
 1004   1341.49   461.30    18.499   0.024  18.162   0.025  17.414   0.027  16.478   0.024
 1005   1967.71  1962.73    18.348   0.029  18.160   0.025  17.551   0.037  16.630   0.036
 1006    479.08  1368.99    18.491   0.023  18.164   0.028  17.372   0.022  16.455   0.032
 1007    811.25  1644.77    18.477   0.026  18.165   0.021  17.350   0.019  16.332   0.045
 1008   1015.07  1134.45    18.660   0.031  18.166   0.020  17.317   0.023  16.236   0.023
 1009    866.31  1010.87    18.726   0.023  18.166   0.023  17.475   0.028  16.531   0.034
 1010    675.96  1675.11    18.599   0.026  18.169   0.026  17.388   0.018  16.394   0.033
 1011    586.99  1450.85    18.486   0.026  18.171   0.022  17.578   0.029  16.759   0.046
 1012     40.81  1347.96    18.601   0.024  18.176   0.024  17.342   0.021  16.229   0.030
 1013   1572.77   698.78    19.197   0.035  18.181   0.020  17.057   0.019  15.754   0.023
 1014   1634.28   411.51    18.799   0.030  18.180   0.021  17.183   0.019  15.938   0.018
 1015   1609.80   293.73    19.683   0.053  18.189   0.020  16.711   0.020  15.075   0.019
 1016   1760.22  1425.89    18.480   0.032  18.175   0.023  17.541   0.023  16.618   0.031
 1017    865.25  1138.00    18.603   0.030  18.176   0.019  17.527   0.024  16.646   0.037
 1018    816.98  1749.65    18.579   0.036  18.182   0.028  17.405   0.021  16.382   0.038
 1019   1430.17   229.00    18.549   0.032  18.184   0.016  17.400   0.028  16.372   0.025
 1020    638.32  1163.05    18.535   0.029  18.185   0.021  17.518   0.033  16.652   0.037
 1021    971.46  2022.04    18.712   0.032  18.191   0.022  17.325   0.024  16.194   0.043
 1022   1344.03   835.01    18.668   0.030  18.194   0.019  17.255   0.023  16.092   0.022
 1023    421.80   628.73    19.581   0.048  18.198   0.021  16.988   0.023  15.515   0.021
 1024   1221.71  1112.17    18.471   0.032  18.193   0.024  17.391   0.022  16.353   0.029
 1025     22.71  1689.13    18.481   0.033  18.192   0.021  17.528   0.032  16.590   0.042
 1026    790.84  1592.73    19.308   0.049  18.203   0.018  16.991   0.019  15.602   0.034
 1027    412.85   718.33    18.533   0.027  18.198   0.024  17.354   0.026  16.266   0.027
 1028   1643.48   626.73    19.578   0.058  18.207   0.019  16.955   0.019  15.519   0.020
 1029    853.58  1272.33    18.535   0.032  18.200   0.019  17.538   0.021  16.630   0.050
 1030    959.66  1163.44    19.027   0.035  18.208   0.028  17.144   0.024  15.951   0.025
 1031    946.51  1539.79    18.640   0.027  18.203   0.022  17.510   0.027  16.647   0.042
 1032    448.10   495.27    18.536   0.026  18.205   0.023  17.470   0.033  16.469   0.034
 1033    584.26   863.16    18.542   0.034  18.203   0.019  17.572   0.024  16.776   0.037
 1034   1314.61   411.59    18.601   0.021  18.206   0.017  17.393   0.024  16.348   0.037
 1035    617.00  1825.63    18.489   0.033  18.204   0.019  17.537   0.029  16.590   0.034
 1036   1951.83   297.61    18.670   0.028  18.208   0.020  17.355   0.023  16.260   0.029
 1037     36.22  1895.28    18.568   0.034  18.208   0.024  17.471   0.025  16.583   0.035
 1038    449.15  1053.80    18.462   0.027  18.209   0.029  17.452   0.030  16.448   0.035
 1039   1591.57  1124.12    18.498   0.021  18.213   0.022  17.435   0.021  16.453   0.031
 1040   1687.72   920.20    18.657   0.029  18.214   0.020  17.444   0.021  16.384   0.032
 1041   1478.25   382.61    18.513   0.024  18.216   0.020  17.318   0.020  16.191   0.029
 1042   1981.67  1390.43    18.796   0.028  18.218   0.020  17.241   0.025  16.074   0.029
 1043   1833.11   765.35    18.559   0.026  18.215   0.019  17.476   0.023  16.496   0.029
 1044   1040.47   160.37    18.757   0.027  18.219   0.021  17.286   0.027  16.097   0.026
 1045    779.98  1172.99    18.650   0.020  18.215   0.026  17.524   0.039  16.609   0.034
 1046   1354.14   561.66    18.657   0.031  18.221   0.020  17.340   0.029  16.264   0.025
 1047    226.87   938.89    18.502   0.030  18.221   0.028  17.407   0.022  16.348   0.038
 1048    351.54   887.49    19.437   0.052  18.230   0.023  17.072   0.024  15.709   0.019
 1049    904.02  1814.69    19.260   0.041  18.233   0.016  16.936   0.019  15.514   0.026
 1050   1999.80  1890.42    18.478   0.091  18.222   0.026  17.656   0.029  16.752   0.034
 1051   1093.29  1462.82    18.520   0.027  18.229   0.022  17.552   0.029  16.568   0.037
 1052   1670.82  1506.85    18.681   0.023  18.232   0.018  17.396   0.022  16.299   0.029
 1053   1246.10  2005.44    18.784   0.043  18.235   0.028  17.272   0.025  16.162   0.032
 1054    243.28  1922.08    19.112   0.056  18.238   0.049  17.236   0.070  16.046   0.070
 1055    213.81  1391.92    18.575   0.021  18.241   0.021  17.493   0.024  16.454   0.027
 1056    860.00   150.85    18.780   0.037  18.251   0.025  17.085   0.027  15.725   0.020
 1057    158.06  1892.33    18.981   0.066  18.250   0.061  17.343   0.039  16.161   0.039
 1058    973.23   541.28    18.647   0.022  18.248   0.027  17.532   0.029  16.571   0.032
 1059    769.15  1949.83    18.696   0.033  18.252   0.021  17.436   0.029  16.353   0.038
 1060    348.20   905.78    18.635   0.029  18.252   0.025  17.475   0.028  16.471   0.034
 1061    386.13  2017.54    18.713   0.032  18.256   0.024  17.326   0.027  16.225   0.038
 1062    813.87    61.04    19.504   0.047  18.264   0.015  16.837   0.031  15.236   0.016
 1063    141.54   666.31    18.742   0.036  18.259   0.025  17.305   0.030  16.134   0.031
 1064    753.03  1934.96    18.865   0.048  18.263   0.020  17.182   0.019  15.911   0.032
 1065   1200.63  1588.02    18.564   0.024  18.261   0.027  17.622   0.024  16.789   0.040
