
			NGC 7790 - Phelps & Janes 1994

star     x       y      V      B-V    U-B    dV   dBV   dUB   dP   nV nB nU
  302  529.13  193.83 18.431  1.126 99.999  0.00  0.00  0.00 0.05  1  1  0
  303  878.01  194.03 17.850  0.890  0.462  0.00  0.00  0.00 0.17  1  1  1
  304  843.37  195.11 16.557  0.952  0.502  0.00  0.00  0.00 0.28  1  1  1
  305  815.96  195.14 16.639  1.155  0.879  0.00  0.00  0.00 0.04  1  1  1
  306  244.30  195.54 16.067  0.650  0.454  0.00  0.00  0.00 0.07  1  1  1
  307  380.98  196.50 19.000  1.042 99.999  0.00  0.00  0.00 0.16  1  1  0
  308  468.00  196.98 15.688  1.787 99.999  0.00  0.00  0.00 0.05  2  2  0
  309  563.46  197.16 15.567  0.939  0.501  0.00  0.00  0.00 0.08  1  1  1
  310  411.92  197.73 17.884  0.988 99.999  0.00  0.00  0.00 0.04  1  1  0
  311  734.80  198.25 19.495  1.324 99.999  0.00  0.00  0.00 0.53  1  1  0
  312  374.53  198.33 19.547  0.774 99.999  0.00  0.00  0.00 0.17  1  1  0
  313  921.66  198.70 19.001  1.100 -0.410  0.00  0.00  0.00 0.35  1  1  1
  314  717.43  198.91 20.082  1.603 99.999  0.00  0.00  0.00 0.53  1  1  0
  315  726.90  199.20 19.926  1.016 99.999  0.00  0.00  0.00 0.43  1  1  0
  316  594.21  202.85 18.715  1.152 99.999  0.00  0.00  0.00 0.19  1  1  0
  317  565.65  203.02 18.087  1.059  0.714  0.00  0.00  0.00 0.16  1  1  1
  318  445.24  203.33 19.770  1.015 99.999  0.00  0.00  0.00 0.63  1  1  0
  319   64.63  203.97 18.456  1.184  0.433  0.00  0.00  0.00 0.30  1  1  1
  320  166.46  206.50 15.160  0.754  0.460  0.00  0.00  0.00 0.09  1  1  1
  321  295.48  206.45 20.199  1.189 99.999  0.00  0.00  0.00 0.68  1  1  0
  322  646.45  207.06 19.343  1.271 99.999  0.00  0.00  0.00 0.28  1  1  0
  323  155.48  207.20 17.530  1.466 99.999  0.00  0.00  0.00 0.04  1  1  0
  324  229.64  207.35 12.747  1.317  1.348  0.00  0.00  0.00 0.04  1  1  1
  325  740.71  207.40 13.554  1.096  1.314  0.00  0.00  0.00 0.05  1  1  1
  326    3.65  207.51 16.418  1.764  1.890  0.00  0.00  0.00 0.21  1  1  1
  327  265.36  208.00 18.107  1.017 99.999  0.00  0.00  0.00 0.13  1  1  0
  328  822.61  208.28 16.641  0.658  0.440  0.00  0.00  0.00 0.05  1  1  1
  329  329.98  208.40 18.864  1.792 99.999  0.00  0.00  0.00 0.22  1  1  0
  330  530.72  208.77 17.824  1.010  0.528  0.00  0.00  0.00 0.26  1  1  1
  331  340.45  208.63 20.002  1.350 99.999  0.00  0.00  0.00 0.18  1  1  0
  332  404.52  210.71 17.903  0.838 99.999  0.00  0.00  0.00 0.06  1  1  0
  333  668.30  211.26 15.708  0.841  0.342  0.00  0.00  0.00 0.06  1  1  1
  334  704.34  213.04 15.302  0.622  0.357  0.00  0.00  0.00 0.05  1  1  1
  335  893.13  213.86 19.347  1.138 99.999  0.00  0.00  0.00 0.31  1  1  0
  336  252.73  214.41 19.012  0.858 99.999  0.00  0.00  0.00 0.06  1  1  0
  337  454.41  215.43 18.667  1.095 99.999  0.01  0.01  0.00 0.04  2  2  0
  338  858.11  216.30 15.092  0.889  0.412  0.00  0.00  0.00 0.07  1  1  1
  339  607.21  217.82 19.881  1.583 99.999  0.00  0.00  0.00 0.09  1  1  0
  340  747.03  217.97 18.696  1.245 99.999  0.00  0.00  0.00 0.10  1  1  0
  341  359.05  219.77 18.143  0.935  0.295  0.00  0.00  0.00 0.26  1  1  1
  342  479.18  220.12 18.117  0.908  0.692  0.01  0.01  0.00 0.24  2  2  1
  343  705.41  220.22 15.013  0.710  0.435  0.00  0.00  0.00 0.06  1  1  1
  344  217.98  220.81 17.767  0.959  0.366  0.00  0.00  0.00 0.11  1  1  1
  345  119.15  220.94 17.629  1.008  0.689  0.00  0.00  0.00 0.13  1  1  1
  346  198.97  221.22 19.367  1.286 99.999  0.00  0.00  0.00 0.11  1  1  0
  347  848.93  221.58 18.596  0.961 99.999  0.00  0.00  0.00 0.05  1  1  0
  348  584.01  222.61 18.755  1.099 99.999  0.00  0.00  0.00 0.11  1  1  0
  349  732.49  223.10 20.114  0.767 99.999  0.00  0.00  0.00 0.23  1  1  0
  350  696.23  223.16 18.718  1.118 99.999  0.00  0.00  0.00 0.11  1  1  0
  351  421.46  223.45 18.941  1.386 99.999  0.00  0.00  0.00 0.40  1  1  0
  352  483.15  223.34 15.555  1.512  1.220  0.00  0.00  0.03 0.14  2  2  2
  353  392.65  224.14 19.080  1.221 99.999  0.00  0.00  0.00 0.13  1  1  0
  354  725.53  224.56 18.210  0.896  0.548  0.00  0.00  0.00 0.20  1  1  1
  355   78.87  224.69 18.717  1.003 99.999  0.00  0.00  0.00 0.14  1  1  0
  356  244.84  225.43 18.023  1.101 99.999  0.00  0.00  0.00 0.18  1  1  0
  357  331.54  225.63 16.257  0.952  0.593  0.00  0.00  0.00 0.09  1  1  1
  358  507.42  226.02 18.718  1.099 99.999  0.00  0.00  0.00 0.06  2  2  0
  359  362.07  226.16 19.514  1.980 99.999  0.00  0.00  0.00 0.27  1  1  0
  360  933.78  226.85 19.987  1.146 99.999  0.00  0.00  0.00 0.69  1  1  0
  361  424.70  228.73 18.657  2.091 99.999  0.00  0.00  0.00 0.19  1  1  0
  362  954.55  229.15 18.928  1.251 99.999  0.00  0.00  0.00 0.30  1  1  0
  363  925.60  229.23 19.952  1.249 99.999  0.00  0.00  0.00 0.50  1  1  0
  364  180.02  229.49 18.014  1.099  0.781  0.00  0.00  0.00 0.22  1  1  1
  365  746.54  229.53 17.995  1.625 99.999  0.00  0.00  0.00 0.16  1  1  0
  366  274.80  230.12 18.372  1.035 99.999  0.00  0.00  0.00 0.08  1  1  0
  367  849.24  230.63 19.713  1.324 99.999  0.00  0.00  0.00 0.41  1  1  0
  368  415.13  231.03 18.984  1.491 99.999  0.00  0.00  0.00 0.08  1  1  0
  369  316.83  231.25 17.918  0.921  0.119  0.00  0.00  0.00 0.26  1  1  1
  370  229.13  231.99 19.135  1.170 99.999  0.00  0.00  0.00 0.08  1  1  0
  371  430.66  232.25 19.178  1.421 99.999  0.00  0.00  0.00 0.27  1  1  0
  372  302.27  232.23 18.783  1.156 99.999  0.00  0.00  0.00 0.19  1  1  0
  373  675.13  232.89 17.339  0.956 99.999  0.00  0.00  0.00 0.09  1  1  0
  374  256.55  233.59 17.715  1.088  0.929  0.00  0.00  0.00 0.15  1  1  1
  375  406.42  234.48 18.091  1.085 99.999  0.00  0.00  0.00 0.09  1  1  0
  376  323.88  234.78 20.684  0.432 99.999  0.00  0.00  0.00 0.17  1  1  0
  377  399.00  235.21 15.918  0.775  0.343  0.00  0.00  0.00 0.05  1  1  1
  378  411.34  236.22 15.968  0.871  0.371  0.00  0.00  0.00 0.07  1  1  1
  379  578.43  236.77 17.995  1.005  0.375  0.00  0.00  0.00 0.18  1  1  1
  380  289.16  237.91 17.198  0.793  0.310  0.00  0.00  0.00 0.29  1  1  1
  381  927.14  239.75 16.871  0.813  0.362  0.00  0.00  0.00 0.17  1  1  1
  382  469.99  239.85 19.214  1.394 99.999  0.00  0.01  0.00 0.07  2  2  0
  383  381.87  241.04 17.846  0.919  0.254  0.00  0.00  0.00 0.15  1  1  1
  384  767.26  241.21 18.141  1.221  0.384  0.00  0.00  0.00 0.25  1  1  1
  385  430.32  241.41 15.782  0.600  0.309  0.00  0.00  0.00 0.03  1  1  1
  386  441.12  241.48 15.662  0.973  0.446  0.00  0.00  0.00 0.09  1  1  1
  387  263.55  241.54 15.823  0.565  0.361  0.00  0.00  0.00 0.09  1  1  1
  388  814.33  243.05 15.336  1.418  1.304  0.00  0.00  0.00 0.02  1  1  1
  389  504.72  243.62 18.010  1.169  0.623  0.00  0.00  0.08 0.19  2  2  2
  390  174.96  244.05 19.384  1.791 99.999  0.00  0.00  0.00 0.46  1  1  0
  391  551.24  244.48 17.399  0.877  0.643  0.00  0.00  0.00 0.32  1  1  1
  392   76.88  244.71 20.074  1.008 99.999  0.00  0.00  0.00 0.44  1  1  0
  393   84.60  244.91 19.571  1.485 99.999  0.00  0.00  0.00 0.25  1  1  0
  394  643.68  245.19 18.319  1.111 99.999  0.00  0.00  0.00 0.16  1  1  0
  395  695.36  246.56 18.655  0.984 99.999  0.00  0.00  0.00 0.15  1  1  0
  396   20.08  246.93 19.023  1.066 99.999  0.00  0.00  0.00 0.12  1  1  0
  397   56.91  247.11 18.187  0.993  0.670  0.00  0.00  0.00 0.34  1  1  1
  398  800.23  247.46 19.693  1.121 99.999  0.00  0.00  0.00 0.34  1  1  0
  399   44.51  247.79 19.634  1.514 99.999  0.00  0.00  0.00 0.61  1  1  0
  400  285.52  248.26 18.910  1.066 99.999  0.00  0.00  0.00 0.30  1  1  0
  401  444.22  248.32 19.857  1.495 99.999  0.00  0.00  0.00 0.09  1  1  0
  402  596.33  248.31 15.740  0.624  0.152  0.00  0.00  0.00 0.07  1  1  1
  403   79.91  248.80 20.309  0.947 99.999  0.00  0.00  0.00 0.31  1  1  0
  404  765.41  248.98 19.749  0.883 99.999  0.00  0.00  0.00 0.16  1  1  0
  405  510.06  249.17 17.980  0.981 99.999  0.00  0.00  0.00 0.06  2  2  0
  406  451.27  249.30 18.173  1.332 99.999  0.01  0.02  0.00 0.06  2  2  0
  407  269.46  249.99 16.507  0.749  0.503  0.00  0.00  0.00 0.13  1  1  1
  408  418.37  250.32 19.328  1.284 99.999  0.00  0.00  0.00 0.19  1  1  0
  409  617.08  250.83 19.799  1.713 99.999  0.00  0.00  0.00 0.37  1  1  0
  410  179.76  251.32 15.875  1.777  1.816  0.00  0.00  0.00 0.27  1  1  1
  411  266.45  251.74 18.595  1.055 99.999  0.00  0.00  0.00 0.21  1  1  0
  412  771.03  252.02 17.494  0.777  0.500  0.00  0.00  0.00 0.16  1  1  1
  413  840.28  253.75 18.683  1.050 99.999  0.00  0.00  0.00 0.17  1  1  0
  414  687.21  253.88 20.045  1.360 99.999  0.00  0.00  0.00 0.34  1  1  0
  415  318.90  253.83 18.500  1.302 99.999  0.00  0.00  0.00 0.13  1  1  0
  416  367.00  254.01 16.764  0.752  0.474  0.00  0.00  0.00 0.08  1  1  1
  417  655.35  254.74 17.073  0.917  0.113  0.00  0.00  0.00 0.05  1  1  1
  418  903.75  256.16 19.160  0.972 99.999  0.00  0.00  0.00 0.21  1  1  0
  419  397.99  256.84 17.026  0.903  0.396  0.00  0.00  0.00 0.09  1  1  1
  420  390.23  257.45 19.521  1.216 99.999  0.00  0.00  0.00 0.04  1  1  0
  421   39.17  257.67 19.045  1.195 99.999  0.00  0.00  0.00 0.22  1  1  0
  422  355.55  257.86 17.155  1.557 99.999  0.00  0.00  0.00 0.04  1  1  0
  423  515.11  259.15 16.318  0.726  0.484  0.00  0.00  0.00 0.04  1  1  1
  424  680.40  259.32 17.496  0.718  0.452  0.00  0.00  0.00 0.25  1  1  1
  425  592.41  259.46 14.938  0.462 -0.030  0.00  0.00  0.00 0.05  1  1  1
  426  203.42  261.48 19.548  1.843 99.999  0.00  0.00  0.00 0.29  1  1  0
  427  820.99  261.31 19.082  1.200 99.999  0.00  0.00  0.00 0.46  1  1  0
  428   50.27  261.86 19.335  1.492 99.999  0.00  0.00  0.00 0.28  1  1  0
  429  135.33  261.97 14.436  0.700  0.348  0.00  0.00  0.00 0.07  1  1  1
  430  422.91  263.35 17.292  1.541 99.999  0.00  0.00  0.00 0.07  1  1  0
  431  940.40  263.76 19.202  1.023 -0.731  0.00  0.00  0.00 0.37  1  1  1
  432  357.09  264.27 18.488  1.541 99.999  0.00  0.00  0.00 0.32  1  1  0
  433   60.79  264.53 20.604  0.787 99.999  0.00  0.00  0.00 0.08  1  1  0
  434  399.80  264.70 16.027  0.759  0.330  0.00  0.00  0.00 0.03  1  1  1
  435  236.78  266.52 18.020  1.760 99.999  0.00  0.00  0.00 0.01  1  1  0
  436  568.37  267.66 18.521  0.900 99.999  0.00  0.00  0.00 0.04  1  1  0
  437  196.66  267.88 17.789  0.922  0.130  0.00  0.00  0.00 0.22  1  1  1
  438  535.32  268.21 17.122  0.829  0.267  0.00  0.00  0.00 0.17  1  1  1
  439  599.47  268.99 17.117  0.855  0.282  0.00  0.00  0.00 0.03  1  1  1
  440  553.04  269.15 18.746  1.131 99.999  0.00  0.00  0.00 0.24  1  1  0
  441   97.53  269.42 17.977  1.020  0.518  0.00  0.00  0.00 0.20  1  1  1
  442  570.67  271.19 16.958  1.478 99.999  0.00  0.00  0.00 0.03  1  1  0
  443  288.98  272.06 19.178  1.149 99.999  0.00  0.00  0.00 0.32  1  1  0
  444  238.01  272.34 17.625  1.078  1.081  0.00  0.00  0.00 0.16  1  1  1
  445   47.43  272.59 19.877  1.359 99.999  0.00  0.00  0.00 0.31  1  1  0
  446  124.49  272.77 19.969  1.236 99.999  0.00  0.00  0.00 0.36  1  1  0
  447  400.90  273.05 18.261  1.444 99.999  0.00  0.00  0.00 0.11  1  1  0
  448  480.32  274.42 19.312  0.991 99.999  0.01  0.01  0.00 0.14  2  2  0
  449   41.20  274.72 18.913  1.359 99.999  0.00  0.00  0.00 0.08  1  1  0
  450  809.24  274.88 18.143  0.983 99.999  0.00  0.00  0.00 0.05  1  1  0
  451  691.78  275.36 19.034  1.018 99.999  0.00  0.00  0.00 0.24  1  1  0
  452   24.23  275.35 16.574  1.044  0.756  0.00  0.00  0.00 0.11  1  1  1
  453   65.01  276.20 17.544  0.885  0.523  0.00  0.00  0.00 0.29  1  1  1
  454  745.80  276.29 17.574  0.820  0.536  0.00  0.00  0.00 0.03  1  1  1
  455  890.80  276.71 19.502  1.163 99.999  0.00  0.00  0.00 0.24  1  1  0
  456  216.63  276.89 19.976  1.286 99.999  0.00  0.00  0.00 0.12  1  1  0
  457  226.99  277.71 17.210  1.028  0.742  0.00  0.00  0.00 0.17  1  1  1
  458  665.44  277.65 16.285  1.428  1.231  0.00  0.00  0.00 0.14  1  1  1
  459  311.64  279.15 19.508  1.299 99.999  0.00  0.00  0.00 0.47  1  1  0
  460  271.86  279.45 18.002  0.951 99.999  0.00  0.00  0.00 0.03  1  1  0
  461  254.40  280.08 17.492  0.943 99.999  0.00  0.00  0.00 0.07  1  1  0
  462  563.55  280.30 18.511  1.238 99.999  0.00  0.00  0.00 0.13  1  1  0
  463  866.13  280.77 16.319  0.918  0.479  0.00  0.00  0.00 0.06  1  1  1
  464  145.54  280.97 19.978  1.067 99.999  0.00  0.00  0.00 0.18  1  1  0
  465  341.07  281.62 18.498  0.454 99.999  0.00  0.00  0.00 0.25  1  1  0
  466  390.77  281.68 18.600  1.083 99.999  0.00  0.00  0.00 0.22  1  1  0
  467   79.31  282.04 17.837  0.931  0.318  0.00  0.00  0.00 0.27  1  1  1
  468  199.87  281.98 16.741  1.691  1.345  0.00  0.00  0.00 0.14  1  1  1
  469  229.10  283.53 15.721  1.970  2.336  0.00  0.00  0.00 0.28  1  1  1
  470  220.06  283.38 19.297  1.335 99.999  0.00  0.00  0.00 0.56  1  1  0
  471   33.35  283.55 16.511  0.722  0.477  0.00  0.00  0.00 0.10  1  1  1
  472  531.88  284.13 19.509  1.326 99.999  0.00  0.00  0.00 0.34  1  1  0
  473  646.42  284.47 19.035  1.182 99.999  0.00  0.00  0.00 0.31  1  1  0
  474  172.27  285.43 19.848  1.234 99.999  0.00  0.00  0.00 0.12  1  1  0
  475  388.48  285.87 18.129  1.055 99.999  0.00  0.00  0.00 0.06  1  1  0
  476  899.19  286.17 16.285  0.575  0.463  0.00  0.00  0.00 0.10  1  1  1
  477  671.51  286.60 20.074  1.308 99.999  0.00  0.00  0.00 0.12  1  1  0
  478   42.89  286.87 15.889  0.547  0.458  0.00  0.00  0.00 0.06  1  1  1
  479  459.85  286.97 17.157  0.848  0.483  0.00  0.00  0.00 0.05  2  2  2
  480  201.98  287.16 19.933  1.056 99.999  0.00  0.00  0.00 0.28  1  1  0
  481  248.25  287.70 17.005  0.765  0.500  0.00  0.00  0.00 0.20  1  1  1
  482  489.92  288.28 17.392  0.871  0.445  0.00  0.00  0.00 0.08  2  2  2
  483  342.07  289.88 12.505  0.518  0.246  0.00  0.00  0.00 0.04  1  1  1
  484  467.01  291.22 18.956  1.204 -0.142  0.03  0.04  0.00 0.22  2  2  1
  485  812.39  291.25 19.716  1.104 99.999  0.00  0.00  0.00 0.30  1  1  0
  486  516.16  291.51 18.368  0.926 99.999  0.00  0.00  0.00 0.07  1  1  0
  487  888.41  291.86 17.593  0.770  0.395  0.00  0.00  0.00 0.30  1  1  1
  488  417.80  293.31 17.414  1.048  0.474  0.00  0.00  0.00 0.09  1  1  1
  489  481.82  293.60 18.346  0.991 99.999  0.00  0.00  0.00 0.05  2  2  0
  490  472.23  293.81 18.277  1.025 99.999  0.00  0.00  0.00 0.09  2  2  0
  491  407.52  294.39 18.792  1.119 99.999  0.00  0.00  0.00 0.09  1  1  0
  492  683.78  294.48 17.591  0.922  0.311  0.00  0.00  0.00 0.13  1  1  1
  493  868.47  294.77 19.096  1.244 99.999  0.00  0.00  0.00 0.21  1  1  0
  494  206.05  295.19 20.093  1.301 99.999  0.00  0.00  0.00 0.14  1  1  0
  495  760.52  295.39 13.469  0.413  0.301  0.00  0.00  0.00 0.03  1  1  1
  496  154.44  295.65 19.061  1.577 99.999  0.00  0.00  0.00 0.30  1  1  0
  497  828.17  296.39 18.886  0.980 99.999  0.00  0.00  0.00 0.03  1  1  0
  498   36.73  296.55 18.938  1.202 99.999  0.00  0.00  0.00 0.17  1  1  0
  499  455.82  297.76 16.146  0.574  0.409  0.00  0.00  0.01 0.05  2  2  2
  500  570.78  298.86 19.573  1.090 99.999  0.00  0.00  0.00 0.34  1  1  0
  501  560.58  298.87 16.448  0.866  0.373  0.00  0.00  0.00 0.12  1  1  1
  502  397.58  298.81 19.662  0.941 99.999  0.00  0.00  0.00 0.43  1  1  0
  503  403.63  299.16 19.952  1.194 99.999  0.00  0.00  0.00 0.43  1  1  0
  504  124.20  299.62 14.388  0.938  0.657  0.00  0.00  0.00 0.08  1  1  1
  505  346.01  300.18 16.230  1.784 99.999  0.00  0.00  0.00 0.04  1  1  0
  506  443.83  300.88 18.279  0.912  0.435  0.00  0.00  0.00 0.36  1  1  1
  507  876.62  301.13 19.255  1.139 99.999  0.00  0.00  0.00 0.13  1  1  0
  508  474.53  301.53 17.840  1.509 99.999  0.00  0.00  0.00 0.11  2  2  0
  509  539.15  301.61 18.149  1.511 99.999  0.00  0.00  0.00 0.08  1  1  0
  510  910.38  302.53 18.350  1.100 99.999  0.00  0.00  0.00 0.12  1  1  0
  511  532.26  302.84 20.899  0.596 99.999  0.00  0.00  0.00 0.48  1  1  0
  512  138.44  302.81 14.987  0.522  0.351  0.00  0.00  0.00 0.05  1  1  1
  513  274.59  303.42 17.655  1.055  0.818  0.00  0.00  0.00 0.05  1  1  1
  514  182.71  303.68 18.050  1.049 99.999  0.00  0.00  0.00 0.13  1  1  0
  515  677.45  303.76 19.987  1.039 99.999  0.00  0.00  0.00 0.50  1  1  0
  516  282.06  304.42 18.465  1.201 99.999  0.00  0.00  0.00 0.01  1  1  0
  517  549.86  304.61 17.397  0.965  0.652  0.00  0.00  0.00 0.07  1  1  1
  518  911.79  305.60 17.224  1.008  0.326  0.00  0.00  0.00 0.30  1  1  1
  519  298.65  305.68 17.038  0.921  0.730  0.00  0.00  0.00 0.23  1  1  1
  520  265.17  306.89 18.840  1.943 99.999  0.00  0.00  0.00 0.45  1  1  0
  521   79.66  307.01 17.241  0.805  0.263  0.00  0.00  0.00 0.14  1  1  1
  522  527.89  307.26 18.242  0.953 99.999  0.00  0.00  0.00 0.09  1  1  0
  523  465.17  308.10 18.959  1.069 99.999  0.03  0.04  0.00 0.18  2  2  0
  524  426.77  308.53 18.639  0.980  0.630  0.00  0.00  0.00 0.21  1  1  1
  525  768.88  308.95 20.265  1.250 99.999  0.00  0.00  0.00 0.54  1  1  0
  526  461.94  309.48 19.255  1.063 99.999  0.04  0.06  0.00 0.28  2  2  0
  527  642.28  310.67 19.266  0.972 99.999  0.00  0.00  0.00 0.29  1  1  0
  528  789.33  310.60 19.379  0.829 99.999  0.00  0.00  0.00 0.09  1  1  0
  529  542.17  311.13 19.347  1.311 99.999  0.00  0.00  0.00 0.20  1  1  0
  530  325.12  313.01 20.615  0.430 99.999  0.00  0.00  0.00 0.42  1  1  0
  531  888.38  313.04 18.069  0.889  0.800  0.00  0.00  0.00 0.30  1  1  1
  532  219.43  314.85 18.050  1.191 99.999  0.00  0.00  0.00 0.20  1  1  0
  533  903.45  315.05 15.368  0.473  0.256  0.00  0.00  0.00 0.05  1  1  1
  534  711.66  315.53 19.129  0.933 99.999  0.00  0.00  0.00 0.14  1  1  0
  535  814.54  315.74 15.770  1.417  1.149  0.00  0.00  0.00 0.15  1  1  1
  536  430.81  315.78 19.675  1.210 99.999  0.00  0.00  0.00 0.26  1  1  0
  537   60.73  315.90 12.474  0.660  0.222  0.00  0.00  0.00 0.06  1  1  1
  538  105.93  316.60 18.977  1.121 99.999  0.00  0.00  0.00 0.16  1  1  0
  539  281.96  317.15 16.566  0.894  0.550  0.00  0.00  0.00 0.07  1  1  1
  540  347.04  317.30 19.582  2.105 99.999  0.00  0.00  0.00 0.28  1  1  0
  541  906.67  317.38 17.126  0.734  0.778  0.00  0.00  0.00 0.23  1  1  1
  542  300.21  318.59 17.132  1.039  0.718  0.00  0.00  0.00 0.09  1  1  1
  543  880.65  319.21 19.951  1.104 99.999  0.00  0.00  0.00 0.27  1  1  0
  544  364.71  319.41 19.907  1.030 99.999  0.00  0.00  0.00 0.41  1  1  0
  545  304.33  319.99 19.294  1.147 99.999  0.00  0.00  0.00 0.13  1  1  0
  546  296.19  320.24 16.255  1.052  0.884  0.00  0.00  0.00 0.22  1  1  1
  547  195.97  321.26 16.767  1.663 99.999  0.00  0.00  0.00 0.10  1  1  0
  548  357.52  321.66 18.182  0.915  0.227  0.00  0.00  0.00 0.20  1  1  1
  549  864.75  321.92 16.081  1.895 99.999  0.00  0.00  0.00 0.04  1  1  0
  550  442.51  322.02 17.437  0.853 99.999  0.00  0.00  0.00 0.05  1  1  0
  551  320.31  322.86 19.382  1.740 99.999  0.00  0.00  0.00 0.30  1  1  0
  552  869.80  323.26 16.901  0.871  0.544  0.00  0.00  0.00 0.07  1  1  1
  553  196.12  324.93 15.882  1.100  0.770  0.00  0.00  0.00 0.11  1  1  1
  554  760.15  325.00 18.959  1.175 99.999  0.00  0.00  0.00 0.25  1  1  0
  555  565.96  325.46 16.143  0.906  0.296  0.00  0.00  0.00 0.09  1  1  1
  556  788.86  326.34 19.240  0.901 99.999  0.00  0.00  0.00 0.07  1  1  0
  557  346.67  326.62 18.404  1.128  0.272  0.00  0.00  0.00 0.40  1  1  1
  558  598.57  326.68 14.001  0.459  0.050  0.00  0.00  0.00 0.04  1  1  1
  559  517.98  327.06 19.579  1.362 99.999  0.00  0.00  0.00 0.57  1  1  0
  560  457.62  327.32 19.189  1.344 99.999  0.02  0.03  0.00 0.29  2  2  0
  561  141.54  327.36 18.064  1.210 99.999  0.00  0.00  0.00 0.02  1  1  0
  562  279.37  327.77 18.424  1.107 99.999  0.00  0.00  0.00 0.19  1  1  0
  563  480.09  328.03 18.970  1.176 99.999  0.01  0.01  0.00 0.14  2  2  0
  564  731.16  329.12 16.969  0.866  0.302  0.00  0.00  0.00 0.19  1  1  1
  565  643.34  329.31 19.886  0.917 99.999  0.00  0.00  0.00 0.43  1  1  0
  566  271.75  329.86 18.637  1.094 99.999  0.00  0.00  0.00 0.12  1  1  0
  567  793.10  331.30 18.476  1.173 99.999  0.00  0.00  0.00 0.13  1  1  0
  568  712.14  332.31 19.876  0.974 99.999  0.00  0.00  0.00 0.33  1  1  0
  569  593.89  332.43 18.969  0.712 99.999  0.00  0.00  0.00 0.30  1  1  0
  570  716.93  332.90 17.716  0.901  0.411  0.00  0.00  0.00 0.18  1  1  1
  571   50.47  333.19 18.073  1.143 99.999  0.00  0.00  0.00 0.08  1  1  0
  572   27.82  334.61 15.689  0.835  0.438  0.00  0.00  0.00 0.07  1  1  1
  573  489.85  335.58 16.773  0.756  0.507  0.00  0.00  0.00 0.09  2  2  2
  574  627.01  335.94 13.681  0.380 -0.168  0.00  0.00  0.00 0.04  1  1  1
  575  662.67  337.30 20.025  1.093 99.999  0.00  0.00  0.00 0.31  1  1  0
  576  416.68  337.76 18.563  1.729 99.999  0.00  0.00  0.00 0.10  1  1  0
  577  105.75  338.00 19.014  1.179 99.999  0.00  0.00  0.00 0.21  1  1  0
  578   64.18  338.18 18.773  1.362 99.999  0.00  0.00  0.00 0.06  1  1  0
  579  613.33  339.10 18.650  1.460 99.999  0.00  0.00  0.00 0.48  1  1  0
  580  114.01  339.13 18.428  1.680 99.999  0.00  0.00  0.00 0.10  1  1  0
  581  604.65  339.28 14.841  0.721  0.495  0.00  0.00  0.00 0.03  1  1  1
  582  138.55  340.14 17.399  0.889  0.279  0.00  0.00  0.00 0.09  1  1  1
  583  152.65  340.31 18.888  1.374 99.999  0.00  0.00  0.00 0.10  1  1  0
  584  458.07  341.64 16.756  0.978  0.575  0.00  0.01  0.00 0.04  2  2  2
  585  335.52  344.69 19.410  1.219 99.999  0.00  0.00  0.00 0.14  1  1  0
  586  368.49  344.88 11.056  0.214 -0.539  0.00  0.00  0.00 0.05  1  1  1
  587  899.68  345.74 19.011  1.084 99.999  0.00  0.00  0.00 0.12  1  1  0
  588  577.10  346.09 16.081  1.632  1.466  0.00  0.00  0.00 0.19  1  1  1
  589  447.30  347.90 12.821  2.043  2.681  0.00  0.00  0.00 0.04  1  1  1
  590   27.37  349.34 16.038  0.943  0.505  0.00  0.00  0.00 0.11  1  1  1
  591  141.60  351.46 15.611  0.836  0.359  0.00  0.00  0.00 0.09  1  1  1
  592  521.75  351.56 18.563  1.028 -0.028  0.00  0.00  0.00 0.20  1  1  1
  593   56.07  351.55 18.525  1.143 99.999  0.00  0.00  0.00 0.11  1  1  0
  594  267.07  352.89 15.296  0.580  0.401  0.00  0.00  0.00 0.07  1  1  1
  595  416.04  353.14 19.186  1.055 99.999  0.00  0.00  0.00 0.22  1  1  0
  596  188.77  353.34 19.777  1.281 99.999  0.00  0.00  0.00 0.33  1  1  0
  597  616.51  353.64 15.221  0.866  0.397  0.00  0.00  0.00 0.02  1  1  1
  598  198.59  354.12 18.285  1.535 99.999  0.00  0.00  0.00 0.25  1  1  0
  599  695.90  354.53 17.899  1.113  0.497  0.00  0.00  0.00 0.39  1  1  1
  600   66.47  355.25 19.672  1.258 99.999  0.00  0.00  0.00 0.34  1  1  0
  601  887.66  355.48 19.285  1.418 99.999  0.00  0.00  0.00 0.10  1  1  0
  602  579.42  356.43 15.119  0.494  0.204  0.00  0.00  0.00 0.04  1  1  1
  603  258.73  356.77 18.688  1.167 99.999  0.00  0.00  0.00 0.11  1  1  0
  604  407.77  357.28 17.895  0.906  0.378  0.00  0.00  0.00 0.28  1  1  1
  605  691.99  358.35 20.793  0.469 99.999  0.00  0.00  0.00 0.14  1  1  0
  606  361.57  358.45 18.702  0.643 -0.275  0.00  0.00  0.00 0.30  1  1  1
  608  191.82  359.01 18.620  1.124  0.032  0.00  0.00  0.00 0.30  1  1  1
  609  875.61  359.30 17.930  0.987  0.649  0.00  0.00  0.00 0.20  1  1  1
  610   38.22  360.16 19.565  1.048 99.999  0.00  0.00  0.00 0.28  1  1  0
  611  741.11  360.38 18.788  1.145 -0.432  0.00  0.00  0.00 0.37  1  1  1
