  1   2.26 384.39 18.983         1.165 0.353 0.816       0.126 0.017 0.016 0.024
  2   4.06 285.96 20.724         0.949 0.279 0.785       0.082 0.049 0.056 0.085
  3   7.77 351.19 17.934         1.502 0.911 1.812       0.016 0.009 0.009 0.013
  4   7.95 141.48 17.799         0.690 0.324 0.735       0.008 0.020 0.011 0.011
  5   8.44 417.17 19.746         1.089 0.394 0.602       0.041 0.037 0.026 0.088
  6   9.95  18.19 16.305         0.591 0.366 0.718       0.012 0.015 0.012 0.013
  7  10.08  60.82 17.164         0.530 0.334 0.690       0.015 0.021 0.016 0.019
  8  15.78 330.49 19.687         1.474 1.037 2.218       0.044 0.020 0.017 0.016
  9  17.89 162.12 14.768         0.684 0.381 0.786       0.005 0.016 0.006 0.010
 10  18.05 197.72 18.802         0.619 0.326 0.716       0.013 0.015 0.024 0.017
 12  25.21   8.63 20.479         0.907 0.262 0.914       0.049 0.045 0.037 0.041
 13  26.66  28.14 19.947         0.935 0.496 1.031       0.038 0.032 0.022 0.024
 14  29.00  59.46 18.501         0.574 0.323 0.682       0.008 0.013 0.012 0.013
 15  29.87 252.38 18.897         0.720 0.364 0.825       0.016 0.020 0.011 0.015
 16  30.41 217.56 20.502         0.721 0.330 0.850       0.051 0.044 0.029 0.049
 17  34.77 376.82 19.331         0.667 0.345 0.745       0.021 0.019 0.019 0.023
 18  34.89  20.55 16.272         0.604 0.309 0.686       0.008 0.018 0.008 0.011
 19  35.06  63.45 17.151         0.541 0.296 0.659       0.007 0.007 0.008 0.010
 20  36.27  86.78 13.601         0.558 0.341 0.649       0.006 0.016 0.004 0.004
 21  37.72 322.94 21.075         0.867 0.489 1.136       0.092 0.060 0.057 0.055
 22  42.74 243.32 13.356         0.494 0.294 0.591       0.004 0.006 0.004 0.004
 24  46.04 359.84 14.947         0.681 0.410 0.810       0.007 0.014 0.009 0.007
 25  47.27 112.37 18.905         0.712 0.410 0.815       0.015 0.014 0.013 0.013
 26  47.71  92.17 17.015         1.088 0.678 1.229       0.018 0.018 0.012 0.012
 27  47.79 359.45 17.723         0.810 0.417 0.890       0.012 0.027 0.011 0.012
 28  50.11   5.94 19.461         0.976 0.361 0.930       0.028 0.020 0.031 0.024
 29  51.84 244.37 20.077         0.647 0.292 0.708       0.039 0.033 0.026 0.035
 30  57.35 308.22 21.126         0.445 0.492 0.779       0.075 0.099 0.061 0.106
 31  61.17 203.53 20.603         0.952 0.520 1.026       0.059 0.032 0.035 0.049
 32  63.51 316.86 20.030         0.768 0.434 0.924       0.034 0.029 0.025 0.037
 33  65.77  53.03 21.624         0.659 0.613 1.161       0.115 0.097 0.075 0.075
 34  66.31  75.36 21.558         0.704 0.456 1.090       0.129 0.088 0.107 0.102
 35  70.83 362.40 14.917         0.689 0.380 0.790       0.008 0.009 0.007 0.011
 36  72.42  94.76 17.013         1.099 0.664 1.230       0.012 0.014 0.010 0.013
 37  72.46 189.26 18.306         0.840 0.466 0.914       0.013 0.013 0.011 0.013
 38  74.07 316.26 16.587         0.683 0.405 0.800       0.012 0.012 0.011 0.013
 39  75.90 395.97 20.222         0.882 0.428 0.968       0.037 0.039 0.035 0.043
 40  80.57 153.79 18.198         0.904 0.492 0.967       0.010 0.009 0.011 0.013
 41  80.93 475.42 18.617         0.635 0.280 0.753       0.022 0.013 0.017 0.017
 42  81.05 206.53 15.338         0.751 0.431 0.831       0.007 0.006 0.006 0.007
 43  82.76 288.34 19.764         0.917 0.354 0.814       0.021 0.032 0.022 0.030
 44  84.61  53.44 19.427         0.677 0.415 0.753       0.025 0.020 0.022 0.022
 45  86.41 388.46 19.048         1.382 0.779 1.508       0.039 0.016 0.012 0.017
 46  92.55  38.08 17.622         1.087 0.589 1.141       0.010 0.011 0.009 0.012
 47  95.09 422.42 21.032         0.810 0.397 1.039       0.076 0.077 0.067 0.047
 48  95.63 155.49 18.592         0.616 0.365 0.687       0.013 0.013 0.020 0.021
 49  98.39 250.16 19.035         1.034 0.581 1.132       0.020 0.011 0.015 0.015
 50  98.83 318.87 16.562         0.668 0.367 0.780       0.006 0.014 0.008 0.011
 51 100.11 238.29 18.674         0.736 0.355 0.806       0.013 0.013 0.012 0.016
 52 100.15 343.07 18.246         0.806 0.438 0.913       0.010 0.011 0.010 0.015
 53 102.18 411.81 16.538         0.698 0.429 0.856       0.014 0.016 0.013 0.013
 55 104.21 297.83 20.521         0.823 0.395 0.904       0.057 0.046 0.036 0.048
 56 105.88 209.21 15.320         0.748 0.414 0.835       0.009 0.006 0.006 0.008
 57 106.20 270.01 21.026         1.239 0.274 0.876       0.087 0.071 0.059 0.073
 58 107.27 288.53 20.938         0.831 0.448 0.975       0.077 0.060 0.051 0.065
 59 108.37 283.31 21.017         0.946 0.363 1.108       0.101 0.059 0.079 0.076
 60 109.86 131.44 19.169         0.639 0.389 0.763       0.018 0.017 0.016 0.025
 61 113.61 349.55 20.618         1.003 0.549 1.147       0.076 0.047 0.029 0.038
 62 113.92 214.30 20.134         0.591 0.487 1.003       0.040 0.047 0.034 0.056
 63 113.97 190.01 17.411         0.485 0.293 0.605       0.018 0.018 0.018 0.026
 64 119.40 325.12 18.840         0.599 0.350 0.757       0.012 0.013 0.014 0.016
